"STATION","NAME","DATE","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00217087","ROSEAU, MN US","1951-10","162","0","0","8","0","0.4","0.15","80","1259","0.41","0.4","42.1","52.0","32.2"
"USC00217087","ROSEAU, MN US","1951-11","162",,"1","-16",,"4.5","0.43","49","2559","0.65","4.9","19.7","29.7","9.8"
"USC00217087","ROSEAU, MN US","1951-12","162",,"0","-26",,"0.8","0.25","41","4342","0.45","2.1","6.0","14.7","-2.7"
"USC00217087","ROSEAU, MN US","1952-01","0","30","3","-31","5","1.8","0.12","42","6271","0.26","4.5","0.7","11.9","-10.5"
"USC00217087","ROSEAU, MN US","1952-02","0","29","0","-15","4","0.5","0.05","36","7647","0.13","1.4","16.0","25.8","6.3"
"USC00217087","ROSEAU, MN US","1952-03","0","31","2","-19","6","3.0","0.15","52","9044","0.51","6.1","19.9","30.8","9.0"
"USC00217087","ROSEAU, MN US","1952-04","16","0","0","11","0","0.3","0.30","92","9606","0.43","0.3","46.8","61.8","31.9"
"USC00217087","ROSEAU, MN US","1952-05","29","0","0","26","0","0.0","0.37","90","9952","0.65","0.0","53.1","68.8","37.5"
"USC00217087","ROSEAU, MN US","1952-06","88","0","0","32","0","0.0","1.37","90","10035","3.56","0.0","64.3","77.3","51.2"
"USC00217087","ROSEAU, MN US","1952-07","186","0","0","41","0","0.0","1.30","91","51","3.35","0.0","66.5","80.1","52.8"
"USC00217087","ROSEAU, MN US","1952-08","237","0","0","40","0","0.0","1.10","94","148","2.67","0.0","63.5","77.6","49.4"
"USC00217087","ROSEAU, MN US","1952-09","289","0","0","29","0","0.0","0.50","90","373","1.04","0.0","59.0","73.0","44.9"
"USC00217087","ROSEAU, MN US","1952-10","289","1","1","9","1","1.0","0.13","73","1106","0.43","1.0","40.8","52.7","28.8"
"USC00217087","ROSEAU, MN US","1952-11","289","0","0","-1","0","0.0","0.82","55","2137","1.00","0.0","29.6","38.1","21.0"
"USC00217087","ROSEAU, MN US","1952-12","289","13","2","-11","2","1.5","0.12","41","3571","0.20","2.5","18.7","26.1","11.3"
"USC00217087","ROSEAU, MN US","1953-01","0","31","4","-31","9","2.5","0.11","35","5359","0.57","8.8","7.3","17.1","-2.5"
"USC00217087","ROSEAU, MN US","1953-02","0","28","1","-25","10","1.0","0.08","37","6890","0.17","2.2","10.3","22.5","-1.9"
"USC00217087","ROSEAU, MN US","1953-03","0","21","2","-21","11","6.5","0.63","50","8133","1.44","8.3","24.9","34.2","15.5"
"USC00217087","ROSEAU, MN US","1953-04","0","0","0","11","0","0.0","0.16","65","8841","0.53","0.0","37.6","47.3","27.8"
"USC00217087","ROSEAU, MN US","1953-05","11","0","0","23","0","0.0","0.80","89","9240","3.39","0.0","52.5","64.9","40.1"
"USC00217087","ROSEAU, MN US","1953-06","79","0","0","33","0","0.0","0.80","89","9363","3.63","0.0","63.2","74.8","51.5"
"USC00217087","ROSEAU, MN US","1953-07","187","0","0","42","0","0.0","0.87","88","46","2.38","0.0","67.0","79.6","54.4"
"USC00217087","ROSEAU, MN US","1953-08","335","0","0","41","0","0.0","1.23","97","76","2.04","0.0","68.8","82.3","55.3"
"USC00217087","ROSEAU, MN US","1953-09","350","0","0","32","0","0.0","0.77","88","391","3.07","0.0","55.0","66.6","43.4"
"USC00217087","ROSEAU, MN US","1953-10","358","0","0","25","0","0.0","0.44","81","830","0.86","0.0","51.1","63.3","38.8"
"USC00217087","ROSEAU, MN US","1953-11","358","11","1","5","5","5.0","0.18","66","1800","0.19","5.5","32.7","41.4","24.0"
"USC00217087","ROSEAU, MN US","1953-12","358","31","1","-26","7","1.5","0.17","39","3415","0.40","3.4","12.9","23.4","2.4"
"USC00217087","ROSEAU, MN US","1954-01","0","31",,"-45","23",,"0.19","32","5448","1.05",,"-5.7","6.8","-18.3"
"USC00217087","ROSEAU, MN US","1954-02","0",,"3","-22",,"3.0","0.20","45","6588","0.49","6.0","22.8","33.3","12.4"
"USC00217087","ROSEAU, MN US","1954-03","0",,,"-22",,,"0.30","46","8034","0.42",,"18.4","30.0","6.7"
"USC00217087","ROSEAU, MN US","1954-04","0",,"0","-15",,"0.0","0.56","65","8888","1.33","0.0","36.5","46.8","26.3"
"USC00217087","ROSEAU, MN US","1954-05","0","0","0","23","0","0.0","0.59","76","9376","1.29","0.0","47.8","59.3","36.4"
"USC00217087","ROSEAU, MN US","1954-06","58","0","0","38","0","0.0","0.86","85","9497","2.34","0.0","62.9","74.0","51.8"
"USC00217087","ROSEAU, MN US","1954-07","188","0","0","46","0","0.0","0.80","92","27","2.06","0.0","68.6","81.4","55.9"
"USC00217087","ROSEAU, MN US","1954-08","222","0","0","37","0","0.0","0.52","86","126","2.31","0.0","62.9","74.9","50.8"
"USC00217087","ROSEAU, MN US","1954-09","229","0","0","29","0","0.0","0.60","81","475","2.18","0.0","53.7","64.1","43.2"
"USC00217087","ROSEAU, MN US","1954-10","229","0","0","19","0","0.0","0.15","69","1152","0.22","0.0","43.2","54.3","32.0"
"USC00217087","ROSEAU, MN US","1954-11","229","0","0","3","0","0.0","0.22","55","2099","0.26","0.0","32.0","40.0","24.0"
"USC00217087","ROSEAU, MN US","1954-12","229",,,"-17",,,,"36","3448",,,"17.0","25.5","8.5"
"USC00217087","ROSEAU, MN US","1955-01","0",,,"-35",,,"0.27","25","5377","0.53",,"0.8","12.5","-10.9"
"USC00217087","ROSEAU, MN US","1955-02","0",,,"-44",,,"0.27","35","7040","0.49",,"3.4","15.8","-9.0"
"USC00217087","ROSEAU, MN US","1955-03","0",,,"-35",,,"0.14","49","8756","0.28",,"9.6","23.7","-4.4"
"USC00217087","ROSEAU, MN US","1955-04","0",,"0","24",,"0.0","0.80","78","9271","2.09","0.0","47.6","59.5","35.6"
"USC00217087","ROSEAU, MN US","1955-05","15","0","0","22","0","0.0","0.50","88","9523","3.24","0.0","56.7","69.7","43.6"
"USC00217087","ROSEAU, MN US","1955-06","69","0","0","40","0","0.0","0.98","85","9608","3.24","0.0","64.0","74.8","53.2"
"USC00217087","ROSEAU, MN US","1955-07","292","0","0","44","0","0.0","1.04","94","18","3.27","0.0","71.6","84.3","58.9"
"USC00217087","ROSEAU, MN US","1955-08","445","0","0","41","0","0.0","0.50","94","43","1.26","0.0","69.1","82.6","55.6"
"USC00217087","ROSEAU, MN US","1955-09","453","0","0","27","0","0.0","1.44","89","366","3.55","0.0","54.5","67.5","41.5"
"USC00217087","ROSEAU, MN US","1955-10",,"0","1","16","0","3.0","0.46","79",,"1.20","3.0","45.0","58.2","31.8"
"USC00217087","ROSEAU, MN US","1955-11",,,,"-22",,,"0.30","47",,"1.43",,"16.7","25.6","7.9"
"USC00217087","ROSEAU, MN US","1955-12",,,,"-43",,,"0.22","37",,"0.39",,"1.5","12.5","-9.4"
"USC00217087","ROSEAU, MN US","1956-01","0",,,"-32",,,"0.35","32",,"0.87",,"4.4","15.7","-7.0"
"USC00217087","ROSEAU, MN US","1956-02","0",,,"-35",,,"0.10","33",,"0.35",,"2.4","16.8","-12.0"
"USC00217087","ROSEAU, MN US","1956-03","0",,,"-31",,,"0.18","45",,"0.51",,"14.8","27.8","1.7"
"USC00217087","ROSEAU, MN US","1956-04","0",,,"9",,,"0.30","57",,"0.34",,"33.0","43.3","22.7"
"USC00217087","ROSEAU, MN US","1956-05","0","0","0","24","0","0.0","1.66","78",,"4.37","0.0","49.8","62.9","36.8"
"USC00217087","ROSEAU, MN US","1956-06","95","0","0","34","0","0.0","1.16","93",,"3.16","0.0","66.3","79.0","53.5"
"USC00217087","ROSEAU, MN US","1956-07","130","0","0","45","0","0.0","2.60","85","70","5.45","0.0","63.9","76.1","51.7"
"USC00217087","ROSEAU, MN US","1956-08","160","0","0","37","0","0.0","2.43","84","157","5.54","0.0","63.2","77.1","49.2"
"USC00217087","ROSEAU, MN US","1956-09","161","0","0","27","0","0.0","0.15","82","610","0.74","0.0","49.9","64.6","35.2"
"USC00217087","ROSEAU, MN US","1956-10","161","0","0","17","0","0.0","0.90","78","1123","1.90","0.0","46.8","60.8","32.9"
"USC00217087","ROSEAU, MN US","1956-11","161",,,"0",,,"1.08","56","2165","1.49",,"30.3","38.2","22.3"
"USC00217087","ROSEAU, MN US","1956-12","161",,,"-31",,,"0.26","41","3675","0.66",,"9.7","19.7","-0.4"
"USC00217087","ROSEAU, MN US","1957-01","0",,,"-37",,,"0.06","33","5768","0.11",,"-2.5","9.6","-14.7"
"USC00217087","ROSEAU, MN US","1957-02","0",,,"-32",,,"0.10","37","7390","0.36",,"7.1","18.5","-4.3"
"USC00217087","ROSEAU, MN US","1957-03","0",,,"-17",,,"0.11","56","8661","0.12",,"22.6","34.8","10.5"
"USC00217087","ROSEAU, MN US","1957-04","0",,,"10",,,"0.36","83","9419","0.96",,"39.7","51.2","28.3"
"USC00217087","ROSEAU, MN US","1957-05","5","0","0","27","0","0.0","0.73","84","9748","2.27","0.0","54.6","68.6","40.5"
"USC00217087","ROSEAU, MN US","1957-06","5","0","0","33","0","0.0","1.16","79","9921","3.59","0.0","59.2","71.3","47.1"
"USC00217087","ROSEAU, MN US","1957-07","183","0","0","47","0","0.0","2.17","91","0","6.15","0.0","71.4","84.7","58.0"
"USC00217087","ROSEAU, MN US","1957-08",,"0","0","41","0","0.0","0.66",,,"2.67","0.0",,,"51.8"
"USC00217087","ROSEAU, MN US","1957-09",,"0","0","30","0","0.0","5.07",,,"7.51","0.0",,,"44.5"
"USC00217087","ROSEAU, MN US","1957-10",,"0","0","18","0","0.0","0.73","78",,"1.99","0.0","45.5","55.3","35.6"
"USC00217087","ROSEAU, MN US","1957-11",,,,"-4",,,"0.30","52",,"0.52",,"26.9","34.2","19.6"
"USC00217087","ROSEAU, MN US","1957-12",,,,"-20",,,"0.07","45",,"0.19",,"16.2","27.0","5.3"
"USC00217087","ROSEAU, MN US","1958-01","0",,,"-16",,,"0.24","42",,"0.37",,"14.6","25.2","4.0"
"USC00217087","ROSEAU, MN US","1958-02","0",,,"-28",,,"0.10","55",,"0.10",,"9.3","21.9","-3.4"
"USC00217087","ROSEAU, MN US","1958-03","0",,,"8",,,"0.11","57",,"0.21",,"28.8","39.4","18.3"
"USC00217087","ROSEAU, MN US","1958-04","0",,,"6",,,"0.20","75",,"0.54",,"43.5","56.6","30.3"
"USC00217087","ROSEAU, MN US","1958-05","16","0","0","22","0","0.0","0.27","87",,"0.61","0.0","54.6","70.8","38.5"
"USC00217087","ROSEAU, MN US","1958-06","38","0","0","32","0","0.0","0.43","90",,"2.51","0.0","58.1","72.5","43.7"
"USC00217087","ROSEAU, MN US","1958-07","107","0","0","45","0","0.0","1.60","90","67","4.59","0.0","65.0","77.2","52.9"
"USC00217087","ROSEAU, MN US","1958-08","176","0","0","37","0","0.0","0.61","93","169","1.71","0.0","63.9","77.5","50.4"
"USC00217087","ROSEAU, MN US","1958-09","184","0","0","27","0","0.0","0.22","80","438","0.88","0.0","56.3","69.5","43.2"
"USC00217087","ROSEAU, MN US","1958-11",,,,"-31",,,"1.03","64",,"2.46",,"25.2","35.8","14.6"
"USC00217087","ROSEAU, MN US","1958-12",,,,"-29",,,"0.14","34",,"0.43",,"2.0","13.7","-9.7"
"USC00217087","ROSEAU, MN US","1959-01","0",,,"-32",,,,"31",,,,"-3.7","6.9","-14.3"
"USC00217087","ROSEAU, MN US","1959-02","0",,,"-40",,,,"35",,,,"1.6","16.4","-13.3"
"USC00217087","ROSEAU, MN US","1959-03","0",,,"-21",,,"0.12","50",,"0.35",,"23.1","35.3","10.9"
"USC00217087","ROSEAU, MN US","1959-04","0",,,"17",,,"0.15","70",,"0.37",,"39.0","50.9","27.0"
"USC00217087","ROSEAU, MN US","1959-05","10","0","0","26","0","0.0","1.10","87",,"3.46","0.0","52.7","65.4","40.0"
"USC00217087","ROSEAU, MN US","1959-06","104","0","0","39","0","0.0","0.64","93",,"1.85","0.0","65.5","78.3","52.8"
"USC00217087","ROSEAU, MN US","1959-07","248","0","0","44","0","0.0","1.27","91","27","2.41","0.0","68.9","81.6","56.3"
"USC00217087","ROSEAU, MN US","1959-08","351","0","0","45","0","0.0","1.27","88","54","4.59","0.0","67.5","80.1","54.8"
"USC00217087","ROSEAU, MN US","1959-09","360","0","0","23","0","0.0","0.29","85","366","1.19","0.0","54.9","67.1","42.7"
"USC00217087","ROSEAU, MN US","1959-10","360",,,"13",,,"0.98","70","1190","3.62",,"38.4","47.5","29.4"
"USC00217087","ROSEAU, MN US","1959-11","360",,,"-11",,,"0.24","43","2637","0.43",,"16.8","26.3","7.2"
"USC00217087","ROSEAU, MN US","1959-12","360",,,"-6",,,"0.40","43","4014","0.81",,"20.6","29.9","11.2"
"USC00217087","ROSEAU, MN US","1960-01","0",,,"-26",,,"0.07","36","5833","0.28",,"6.3","17.0","-4.4"
"USC00217087","ROSEAU, MN US","1960-02","0",,,"-22",,,"0.23","37","7252","0.41",,"10.0","22.7","-2.7"
"USC00217087","ROSEAU, MN US","1960-03","0",,,"-20",,,"0.35","44","8768","0.57",,"14.4","27.1","1.7"
"USC00217087","ROSEAU, MN US","1960-04","0",,,"5",,,"0.50","68","9555","1.81",,"38.8","49.5","28.0"
"USC00217087","ROSEAU, MN US","1960-05","6","0","0","18","0","0.0","0.62","83","9933","1.54","0.0","53.0","67.7","38.3"
"USC00217087","ROSEAU, MN US","1960-06","35","0","0","34","0","0.0","1.00","84","10095","3.37","0.0","60.5","73.7","47.4"
"USC00217087","ROSEAU, MN US","1960-07","155","0","0","39","0","0.0","1.00","88","46","2.91","0.0","67.4","81.6","53.3"
"USC00217087","ROSEAU, MN US","1960-08","256","0","0","38","0","0.0","0.69","91","81","2.18","0.0","67.2","80.9","53.5"
"USC00217087","ROSEAU, MN US","1960-09",,"0","0",,"0","0.0","0.20","90",,"0.81","0.0",,"70.5",
"USC00217087","ROSEAU, MN US","1960-10",,"0","0","16","0","0.0","1.08","78",,"2.40","0.0","44.3","57.5","31.2"
"USC00217087","ROSEAU, MN US","1960-11",,,,"-13",,,"0.20","51",,"0.37",,"26.7","36.6","16.9"
"USC00217087","ROSEAU, MN US","1960-12",,,,"-34",,,"0.71","33",,"1.05",,"4.5","17.9","-8.8"
"USC00217087","ROSEAU, MN US","1961-01","0",,,"-38",,,"0.18","38",,"0.31",,"1.0","14.7","-12.8"
"USC00217087","ROSEAU, MN US","1961-02","0",,,"-26",,,"0.07","39",,"0.33",,"14.1","26.7","1.5"
"USC00217087","ROSEAU, MN US","1961-03","0",,,"-8",,,"0.20","53",,"0.30",,"27.0","38.2","15.8"
"USC00217087","ROSEAU, MN US","1961-04","0",,,"2",,,"0.35","62",,"1.06",,"34.3","46.1","22.5"
"USC00217087","ROSEAU, MN US","1961-05","6","0","0","22","0","0.0","0.38","84",,"0.67","0.0","52.6","67.7","37.5"
"USC00217087","ROSEAU, MN US","1961-06","122","0","0","37","0","0.0","0.19","95",,"0.59","0.0","67.0","83.7","50.4"
"USC00217087","ROSEAU, MN US","1961-07","232","0","0","45","0","0.0","0.37","91","24","1.71","0.0","67.8","80.5","55.0"
"USC00217087","ROSEAU, MN US","1961-08","402","0","0","39","0","0.0","0.79","95","40","2.22","0.0","70.0","85.4","54.6"
"USC00217087","ROSEAU, MN US","1961-09","422","0","0","20","0","0.0","0.85","84","351","4.68","0.0","55.3","66.3","44.3"
"USC00217087","ROSEAU, MN US","1961-10","422","0","0","18","0","0.0","0.85","84","953","1.34","0.0","45.6","57.3","33.9"
"USC00217087","ROSEAU, MN US","1961-11","422",,,"0",,,"0.32","56","2078","0.60",,"27.5","35.7","19.4"
"USC00217087","ROSEAU, MN US","1961-12","422",,,"-27",,,"0.20","35","3843","0.61",,"8.0","17.3","-1.2"
"USC00217087","ROSEAU, MN US","1962-01","0",,,"-35",,,"0.25","35","5882","0.65",,"-0.8","11.3","-12.9"
"USC00217087","ROSEAU, MN US","1962-02","0",,,"-35",,,"0.32","38","7647","0.84",,"2.0","14.6","-10.7"
"USC00217087","ROSEAU, MN US","1962-03","0",,,"-38",,,"0.33","46","8873","0.87",,"22.8","33.6","11.9"
"USC00217087","ROSEAU, MN US","1962-04","0",,,"9",,,"0.30","79","9741","0.55",,"36.0","47.7","24.4"
"USC00217087","ROSEAU, MN US","1962-05","0","0","0","27","0","0.0","1.15","79","10111","5.91","0.0","53.1","63.6","42.6"
"USC00217087","ROSEAU, MN US","1962-06","46","0","0","40","0","0.0","1.69","86","10191","3.40","0.0","63.9","74.2","53.6"
"USC00217087","ROSEAU, MN US","1962-07","91","0","0","45","0","0.0","0.45","82","23","2.07","0.0","65.7","77.0","54.5"
"USC00217087","ROSEAU, MN US","1962-08","189","0","0","43","0","0.0","0.82","88","67","4.05","0.0","66.8","79.5","54.0"
"USC00217087","ROSEAU, MN US","1962-09","189","0","0","28","0","0.0","1.00","81","398","3.05","0.0","54.0","65.5","42.4"
"USC00217087","ROSEAU, MN US","1962-10","193",,,"15",,,"0.24","78","918","0.50",,"48.3","59.9","36.8"
"USC00217087","ROSEAU, MN US","1962-11","193",,,"11",,,"0.25","50","1845","0.70",,"31.8","38.4","25.2"
"USC00217087","ROSEAU, MN US","1962-12","193",,,"-29",,,"0.29","50","3471","0.53",,"12.6","23.3","1.8"
"USC00217087","ROSEAU, MN US","1963-01","0",,"0","-36",,"0.0","0.03","37","5523","0.04","0.0","-3.3","5.7","-12.4"
"USC00217087","ROSEAU, MN US","1963-02","0",,,"-28",,,"0.19","40","7213","0.52",,"4.6","17.2","-7.9"
"USC00217087","ROSEAU, MN US","1963-03","0",,,"-13",,,"0.05","74","8338","0.10",,"28.7","40.8","16.6"
"USC00217087","ROSEAU, MN US","1963-04","0","0","0","10","0","0.0","0.62","73","9019","2.52","0.0","42.3","54.2","30.4"
"USC00217087","ROSEAU, MN US","1963-05","6","0","0","25","0","0.0","0.59","82","9441","2.06","0.0","51.6","64.1","39.1"
"USC00217087","ROSEAU, MN US","1963-06","126","0","0","40","0","0.0","1.89","88","9510","5.57","0.0","66.7","78.4","55.0"
"USC00217087","ROSEAU, MN US","1963-07","259","0","0","41","0","0.0","0.69","92","24","3.02","0.0","68.5","82.3","54.7"
"USC00217087","ROSEAU, MN US","1963-08","327","0","0","40","0","0.0","0.50","87","94","1.14","0.0","64.9","78.3","51.5"
"USC00217087","ROSEAU, MN US","1963-09","341","0","0","31","0","0.0","0.52","83","318","0.96","0.0","58.0","71.7","44.3"
"USC00217087","ROSEAU, MN US","1963-10","346","0","0","19","0","0.0","0.18","82","688","0.35","0.0","53.2","67.1","39.4"
"USC00217087","ROSEAU, MN US","1963-11","346","9","2","-11","2","1.3","0.13","55","1768","0.25","2.3","29.0","39.4","18.6"
"USC00217087","ROSEAU, MN US","1963-12","346","31","3","-39","11","3.2","0.32","35","3736","0.86","8.6","1.5","10.6","-7.6"
"USC00217087","ROSEAU, MN US","1964-01","0","31","0","-33","9","0.8","0.08","37","5506","0.13","1.3","7.9","18.1","-2.3"
"USC00217087","ROSEAU, MN US","1964-02","0","29","0","-28","6","0.8","0.05","36","7137","0.11","1.5","8.7","21.7","-4.2"
"USC00217087","ROSEAU, MN US","1964-03","0","31","4","-20","15","4.0","0.23","42","8721","0.63","9.0","12.4","26.3","-1.5"
"USC00217087","ROSEAU, MN US","1964-04","0","13","2","13","14","4.0","1.34","72","9474","2.77","7.0","39.9","51.6","28.2"
"USC00217087","ROSEAU, MN US","1964-05","20","0","0","26","0","0.0","0.78","93","9795","1.65","0.0","55.3","69.5","41.1"
"USC00217087","ROSEAU, MN US","1964-06","59","0","0","21","0","0.0","1.77","87","10011","5.95","0.0","59.1","71.1","47.2"
"USC00217087","ROSEAU, MN US","1964-07","153","0","0","41","0","0.0","1.92","92","27","4.04","0.0","67.1","79.2","55.0"
"USC00217087","ROSEAU, MN US","1964-08","190","0","0","30","0","0.0","1.32","87","239","3.16","0.0","59.4","70.8","48.0"
"USC00217087","ROSEAU, MN US","1964-09","192","0","0","21","0","0.0","1.54","78","627","3.52","0.0","52.1","64.5","39.7"
"USC00217087","ROSEAU, MN US","1964-10","192","0","0","18","0","0.0","0.33","75","1286","0.44","0.0","42.5","53.6","31.4"
"USC00217087","ROSEAU, MN US","1964-11","192","4","1","-26","4","3.5","0.40","57","2397","0.71","4.0","26.4","33.9","18.8"
"USC00217087","ROSEAU, MN US","1964-12","192","31","6","-29","21","5.0","0.48","30","4382","1.12","18.2","1.0","9.6","-7.7"
"USC00217087","ROSEAU, MN US","1965-01","0","31","0","-39","22","0.5","0.04","28","6450","0.10","1.9","-4.1","6.9","-15.2"
"USC00217087","ROSEAU, MN US","1965-02","0","28","2","-31","23","1.0","0.09","38","8179","0.14","2.0","3.3","15.9","-9.4"
"USC00217087","ROSEAU, MN US","1965-03","0","31","2","-25","20","4.8","0.33","38","9875","0.71","8.9","10.3","23.0","-2.5"
"USC00217087","ROSEAU, MN US","1965-04","0","9","1","21","18","3.0","0.96","70","10652","1.89","3.8","39.1","47.7","30.6"
"USC00217087","ROSEAU, MN US","1965-05","0","0","0","28","0","0.0","1.66","81","11047","3.11","0.0","52.3","65.5","39.1"
"USC00217087","ROSEAU, MN US","1965-06","23","0","0","40","0","0.0","1.20","83","11173","3.99","0.0","61.4","73.9","48.9"
"USC00217087","ROSEAU, MN US","1965-07","67","0","0","39","0","0.0","1.14","86","71","2.97","0.0","64.1","76.1","52.2"
"USC00217087","ROSEAU, MN US","1965-08","139","0","0","29","0","0.0","0.27","94","206","1.03","0.0","63.0","77.2","48.7"
"USC00217087","ROSEAU, MN US","1965-09","139","0","0","13","0","0.0","1.37","73","789","4.87","0.0","45.6","56.5","34.7"
"USC00217087","ROSEAU, MN US","1965-10","139","0","0","17","0","0.0","0.60","71","1394","1.34","0.0","45.5","56.4","34.6"
"USC00217087","ROSEAU, MN US","1965-11","139","23","6","-10","17","6.0","0.50","63","2716","1.54","17.3","20.9","30.5","11.4"
"USC00217087","ROSEAU, MN US","1965-12","139","31","4","-19","29","4.0","0.40","39","4240","1.23","13.0","15.8","24.5","7.1"
"USC00217087","ROSEAU, MN US","1966-01","0","29","2","-46","33","1.3","0.25","20","6552","0.56","3.1","-9.6","0.8","-19.9"
"USC00217087","ROSEAU, MN US","1966-02","0","28","1","-48","33","1.0","0.20","34","8331","0.31","1.5","1.5","15.4","-12.5"
"USC00217087","ROSEAU, MN US","1966-03","0","30","5","-25","38","8.0","0.84","44","9603","1.70","17.3","24.0","33.0","14.9"
"USC00217087","ROSEAU, MN US","1966-04","0","5","3","19","7","8.5","0.75","60","10464","1.63","16.9","35.3","44.0","26.7"
"USC00217087","ROSEAU, MN US","1966-05","6","0","1","16","0","3.0","0.76","82","10989","2.04","3.0","48.2","60.1","36.4"
"USC00217087","ROSEAU, MN US","1966-06","70","0","0","40","0","0.0","0.99","89","11110","3.80","0.0","63.3","75.0","51.5"
"USC00217087","ROSEAU, MN US","1966-07","220","0","0","46","0","0.0","1.75","89","10","3.72","0.0","69.5","80.7","58.3"
"USC00217087","ROSEAU, MN US","1966-08","293","0","0","43","0","0.0","0.83","88","104","3.30","0.0","64.3","76.5","52.2"
"USC00217087","ROSEAU, MN US","1966-09","313","0","0","27","0","0.0","0.26","86","385","0.99","0.0","56.3","69.2","43.4"
"USC00217087","ROSEAU, MN US","1966-10","313","0","0","11","0","0.0","0.35","74","1015","1.17","0.0","42.9","54.7","31.0"
"USC00217087","ROSEAU, MN US","1966-11","313",,"3","-15",,"3.0","0.30","41","2415","0.62","6.8","18.4","28.5","8.2"
"USC00217087","ROSEAU, MN US","1966-12","313",,"6","-28",,"4.5","0.65","32","4234","1.70","16.6","6.3","16.5","-3.9"
"USC00217087","ROSEAU, MN US","1967-01","0","27","7","-35","14","3.0","0.30","33","6152","1.13","13.7","3.1","14.1","-7.8"
"USC00217087","ROSEAU, MN US","1967-02","0","27","2","-41","18","4.0","0.14","36","8040","0.39","7.1","-2.4","12.9","-17.7"
"USC00217087","ROSEAU, MN US","1967-03","0","27","3","-28","20","4.0","0.36","71","9437","0.59","6.6","19.9","31.5","8.3"
"USC00217087","ROSEAU, MN US","1967-04","0","2","1","-1","1","1.0","1.70","64","10248","2.89","1.5","36.0","46.1","25.9"
"USC00217087","ROSEAU, MN US","1967-05","1","3","1","15","2","2.0","0.31","81","10823","0.89","2.0","46.5","59.8","33.2"
"USC00217087","ROSEAU, MN US","1967-06","15","0","0","30","0","0.0","0.70","84","10977","2.23","0.0","60.3","73.9","46.7"
"USC00217087","ROSEAU, MN US","1967-07","87","0","0","36","0","0.0","1.00","89","65","4.96","0.0","65.2","78.7","51.7"
"USC00217087","ROSEAU, MN US","1967-08","153","0","0","32","0","0.0","0.82","91","180","1.70","0.0","63.4","77.6","49.2"
