STATION,NAME,DATE,AWND,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1952-02,,0,29,6,-19,21,4.3,0.47,39,7477,1.21,16.6,16,25.7,6.3,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1952-03,,0,31,2,-15,17,4.3,0.56,40,8894,1.41,11.7,19.3,28.2,10.4,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1952-04,,12,9,0,14,10,0.1,0.28,85,9502,0.53,0.1,45.1,56,34.2,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1952-05,,32,0,0,35,0,0,0.72,90,9794,1.89,0,56.2,68,44.5,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1952-06,,119,0,0,41,0,0,1.39,92,9843,4.11,0,66.3,77,55.5,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1952-07,,273,0,0,49,0,0,1.42,88,14,3.88,0,69.5,80.6,58.5,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1952-08,,359,0,0,46,0,0,1.37,90,51,4.74,0,66.6,77.4,55.7,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1952-09,,431,0,0,35,0,0,0.3,90,257,0.49,0,60.5,72.8,48.3,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1952-10,,431,0,0,14,0,0,0.06,70,988,0.06,0,41.4,53.9,28.9,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1952-11,,431,6,2,-8,4,2.4,0.29,61,2006,0.76,4.5,31,41.6,20.6,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1952-12,,431,16,2,-8,3,2,0.13,43,3427,0.29,4.3,19.2,26.7,11.6,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1953-01,,0,31,3,-24,7,3.3,0.19,37,5122,0.41,7,10.3,19.8,0.8,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1953-02,,0,28,4,-16,13,3.7,0.31,36,6568,0.8,9.4,13.4,22.9,3.9,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1953-03,,0,19,2,-10,10,1.8,0.41,53,7766,0.94,4.3,26.3,34.9,17.7,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1953-04,,0,4,1,13,4,5.1,0.84,67,8599,3.43,6.4,37.2,46.4,28.1,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1953-05,,19,0,0,22,0,0,0.63,86,8953,1.98,0,54.2,65.4,43,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1953-06,,116,0,0,40,0,0,2.14,88,9054,5.35,0,64.9,74.8,54.9,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1953-07,,264,0,0,47,0,0,0.42,90,24,1.01,0,69,80.5,57.5,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1953-08,,432,0,0,52,0,0,2.22,92,35,5.78,0,70.1,80.4,59.8,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1953-09,,461,0,0,32,0,0,0.22,90,271,0.55,0,58.1,70.4,45.7,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1953-10,,474,0,0,27,0,0,0.55,90,661,0.71,0,52.8,65.7,40,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1953-11,,474,0,0,16,0,0,0.83,69,1565,0.91,0,34.8,43.6,26.1,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1953-12,,474,29,5,-24,8,6,0.52,37,3149,1.1,12,13.9,24.9,3,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1954-01,,0,31,5,-36,15,2.4,0.24,32,5165,0.84,10,-0.1,11.2,-11.3,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1954-02,,0,28,3,-20,14,3,0.69,46,6336,1.12,6.6,23.2,32.9,13.5,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1954-03,,0,29,1,-6,8,8.3,0.91,44,7679,1.48,10.2,21.7,30.4,13,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1954-04,,0,6,1,-2,2,1,1.13,73,8416,3.38,1.8,40.4,50.8,30,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1954-05,,0,4,2,23,3,2,1.31,77,8897,2.84,3,49.5,60.1,38.8,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1954-06,,71,0,0,40,0,0,0.93,89,8976,2.94,0,64.7,75.4,54.1,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1954-07,,247,0,0,49,0,0,1.3,91,18,4.23,0,70.1,80.1,60.1,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1954-08,,334,0,0,47,0,0,2.23,86,48,5.88,0,66.8,77.5,56.2,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1954-09,,342,0,0,29,0,0,1.14,84,334,3.78,0,55.7,65,46.5,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1954-10,,342,0,0,20,0,0,0.48,69,987,1.03,0,43.9,52.4,35.5,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1954-11,,342,2,1,10,1,1,0.06,67,1907,0.14,2.1,34.3,43.2,25.4,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1954-12,,342,31,0,2,2,0.7,0.03,39,3295,0.04,0.9,20.2,27.6,12.9,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1955-01,,0,31,2,-24,6,1.6,0.1,34,5029,0.39,5.3,9,19.1,-1,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1955-02,,0,28,4,-28,13,7,0.21,35,6662,0.69,14.4,6.7,18,-4.6,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1955-03,,0,28,1,-19,10,1.7,0.2,58,8058,0.42,3.4,18.6,30.4,6.8,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1955-04,,1,0,0,22,0,0,0.78,78,8506,1.8,0,50.1,63.2,36.9,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1955-05,,34,0,0,28,0,0,0.87,89,8685,1.46,0,60,72.5,47.4,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1955-06,,97,0,0,44,0,0,0.75,90,8766,2.09,0,64.4,75.1,53.7,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1955-07,,369,0,0,49,0,0,0.91,99,3,3.29,0,74,84.8,63.1,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1955-08,,570,0,0,47,0,0,1.32,95,12,3.47,0,71.4,82.1,60.6,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1955-09,,604,0,0,32,0,0,0.38,92,256,1.39,0,57.5,70.1,45,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1955-10,,604,0,0,19,0,0,0.16,82,793,0.46,0,47.7,59.2,36.2,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1955-11,,604,20,2,-10,3,1.3,0.14,51,2086,0.64,5.4,20.1,28.7,11.4,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1955-12,,604,30,5,-32,10,4,0.43,35,3834,1.38,14.8,6.7,16.1,-2.7,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1956-01,,0,31,2,-24,17,5,0.51,33,5638,1.17,10.6,6.8,16.5,-2.9,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1956-02,,0,29,3,-24,16,3,0.13,34,7194,0.34,5.7,7,19.3,-5.3,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1956-03,,0,31,3,-18,10,3,0.34,51,8611,0.94,9,19.3,29.7,8.9,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1956-04,,0,6,2,17,5,4.3,1.43,68,9476,2.75,5.8,36.2,46.4,25.9,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1956-05,,4,0,0,26,0,0,0.84,79,9847,3.03,0,53.2,64,42.4,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1956-06,,142,0,0,39,0,0,1,95,9872,3.46,0,68.8,80.4,57.1,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1956-07,,212,0,0,49,0,0,1,85,30,3.22,0,66.3,76.2,56.4,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1956-08,,326,0,0,44,0,0,2.5,87,78,5.81,0,67.1,77.9,56.4,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1956-09,,341,0,0,29,0,0,0.18,95,368,0.62,0,55.5,68.8,42.2,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1956-10,,341,0,0,25,0,0,0.39,81,791,1.34,0,51.4,64.4,38.3,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1956-11,,341,12,2,-3,4,3,1.44,60,1855,3.04,4.5,29.5,37.9,21.1,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1956-12,,341,23,3,-16,4,4,0.33,46,3266,0.57,7,17.6,28.1,7.1,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1957-01,,0,31,0,-24,2,0.3,0.03,35,5209,0.17,2.2,2.3,12.9,-8.2,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1957-02,,0,28,1,-23,7,3,0.26,40,6668,0.56,5.6,12.9,24.5,1.3,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1957-03,,0,20,2,-7,11,8,1.2,51,7914,1.59,12.2,24.8,34.6,15,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1957-04,,0,3,2,11,3,2.5,0.94,80,8632,1.73,4.3,41.1,52.1,30,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1957-05,,3,0,0,27,0,0,1.02,81,9000,4.28,0,53.2,64.1,42.4,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1957-06,,18,0,0,42,0,0,1.25,83,9090,7.49,0,62.5,72.7,52.2,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1957-07,,283,0,0,55,0,0,1.27,94,0,4.56,0,73.5,83.3,63.8,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1957-08,,386,0,0,48,0,0,2.06,88,47,8.23,0,66.8,76,57.5,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1957-09,,395,0,0,31,0,0,1.12,81,333,3.17,0,55.8,65.8,45.7,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1957-10,,395,0,0,20,0,0,0.53,75,946,1.5,0,45.2,53.5,36.9,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1957-11,,395,2,0,2,1,0.4,0.4,52,2025,0.94,1.2,29,36,22.1,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1957-12,,395,13,2,-14,3,3,0.52,45,3418,0.59,4.8,20.1,29.3,10.8,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1958-01,,0,29,2,-16,5,2.9,0.26,44,4915,0.62,6.4,16.7,24.9,8.5,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1958-02,,0,24,0,-25,5,0.8,0.1,54,6459,0.24,1.8,9.9,20.6,-0.9,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1958-03,,0,11,1,12,3,1.5,0.19,56,7590,0.29,2.7,28.5,37.1,19.9,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1958-04,,0,2,1,17,3,2.3,0.76,82,8232,2.73,2.5,43.6,54.8,32.4,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1958-05,,19,0,0,25,0,0,0.53,85,8513,1.59,0,56.6,69.1,44,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1958-06,,39,0,0,38,0,0,0.51,89,8734,2.64,0,58.3,68.9,47.7,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1958-07,,119,0,0,45,0,0,1.13,89,52,2.01,0,65.9,76.4,55.5,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1958-08,,277,0,0,41,0,0,1.18,98,127,3.58,0,67.6,79.1,56.2,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1958-09,,302,0,0,30,0,0,1.41,84,345,2.09,0,58.6,70,47.1,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1958-10,,302,0,0,25,0,0,0.42,77,866,0.66,0,48.2,59.7,36.6,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1958-11,,302,5,0,-15,1,0.6,1.2,65,1912,2.8,1.5,30.1,39.5,20.8,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1958-12,,302,20,0,-17,1,0.7,0.08,42,3606,0.17,1.7,10.4,19.4,1.3,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1959-01,,0,12,1,-21,1,1.1,0.08,38,5469,0.1,1.3,4.9,13.8,-4.1,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1959-02,,0,16,2,-23,3,1.8,0.16,41,7003,0.31,5,10.2,21.9,-1.5,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1959-03,,0,0,0,2,0,0.4,0.04,60,8075,0.17,1.5,30.4,41.4,19.5,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1959-04,,0,0,0,18,0,0,0.28,73,8777,0.65,0,41.6,53.9,29.3,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1959-05,,36,0,0,27,0,0,2.16,97,9111,7.24,0,55.4,66.4,44.4,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1959-06,,159,0,0,44,0,0,1.06,90,9188,2.57,0,66.5,76.9,56.2,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1959-07,,347,0,0,46,0,0,0.84,95,14,1.98,0,70.6,83.5,57.7,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1959-08,,551,0,0,51,0,0,1.12,96,23,3.05,0,71.3,82.5,60.1,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1959-09,,595,0,0,32,0,0,0.91,94,265,2.21,0,58.4,69.4,47.4,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1959-10,,595,3,2,20,2,3.6,0.26,71,1039,1.54,5,40,48.6,31.5,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1959-11,,595,9,2,-8,2,1.2,0.14,48,2365,0.41,3.5,20.8,29,12.6,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1959-12,,595,4,1,2,2,2,0.53,47,3616,0.89,2.3,24.6,33,16.2,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1960-01,,0,31,1,-26,7,5,0.24,34,5335,0.42,6.7,9.6,18.9,0.2,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1960-02,,0,29,0,-14,5,0.3,0.03,36,6873,0.09,0.9,12,21.9,2,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1960-03,,0,28,1,-18,7,1.5,0.12,43,8424,0.59,5.7,15,25.4,4.5,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1960-04,,0,3,2,11,5,3,0.64,72,9174,2.5,5.1,40,49.1,30.9,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1960-05,,3,0,0,25,0,0,0.61,80,9482,2.08,0,55.2,66.6,43.8,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1960-06,,22,0,0,39,0,0,1.12,85,9610,4.42,0,61.4,72,50.8,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1960-07,,223,0,0,46,0,0,1.55,96,22,2.4,0,70.8,82.5,59,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1960-08,,385,0,0,47,0,0,2.08,91,42,6.33,0,69.6,80.1,59,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1960-09,,475,0,0,35,0,0,0.5,94,294,1.52,0,59.6,69.5,49.6,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1960-10,,475,0,0,19,0,0,1.13,75,846,1.2,0,47.2,59.2,35.2,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1960-11,,475,3,1,-4,3,2.6,0.86,56,1871,0.92,2.6,30.8,39.8,21.9,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1960-12,,475,31,1,-22,4,1.3,0.38,43,3467,0.72,3,13.5,22.6,4.5,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1961-01,,0,16,1,-26,5,1.3,0.04,42,5181,0.07,1.7,9.7,20.4,-1,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1961-02,,0,14,0,-6,1,0.3,0.02,54,6393,0.05,0.6,21.7,31.3,12.1,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1961-03,,0,2,1,12,2,2,0.09,63,7390,0.29,2.5,32.8,42.2,23.5,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1961-04,,0,5,3,12,2,3,0.66,66,8270,2.06,8.7,35.7,45.5,25.8,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1961-05,,8,0,0,24,0,0,0.67,88,8668,2.24,0,52.4,64.1,40.7,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1961-06,,135,0,0,41,0,0,1.09,92,8726,2.47,0,67.3,80.6,54,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1961-07,,253,0,0,48,0,0,1.93,89,10,3.91,0,68.5,79.4,57.6,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1961-08,,464,0,0,46,0,0,1.25,95,15,2.6,0,71.6,83.2,60,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1961-09,,505,0,0,26,0,0,0.86,92,322,3.31,0,56.1,66.5,45.8,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1961-10,,507,0,0,21,0,0,0.5,85,873,1.02,0,47.3,58.8,35.8,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1961-11,,507,8,1,9,2,1.6,0.52,57,1943,0.65,2.3,29.3,37.8,20.8,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1961-12,,507,23,3,-20,7,2.4,0.18,40,3621,0.8,8.3,10.9,19.7,2,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1962-01,,0,31,3,-28,9,2.1,0.14,40,5508,0.64,7.7,4.1,14,-5.7,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1962-02,,0,28,5,-31,17,3.7,0.29,41,7076,1.17,11.9,9,18,-0.1,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1962-03,,0,31,4,-34,18,3,0.25,40,8371,0.78,8.5,23.2,30.5,15.9,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1962-04,,6,12,2,12,6,2.7,0.48,89,9165,1.02,3.8,38.7,49.7,27.8,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1962-05,,11,0,0,35,0,0,1.21,84,9447,6.71,0,56.1,65.2,47,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1962-06,,81,0,0,39,0,0,1.11,92,9545,2.06,0,64.1,74.4,53.7,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1962-07,,160,0,0,48,0,0,2.5,84,31,9.69,0,66.5,76.1,57,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1962-08,,288,0,0,49,0,0,0.91,91,44,2.05,0,68.7,80.2,57.2,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1962-09,,295,0,0,30,0,0,0.77,84,321,3.82,0,56,66.8,45.2,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1962-10,,301,0,0,22,0,0,0.22,81,829,0.43,0,48.8,59.3,38.3,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1962-11,,301,2,1,13,3,3,0.12,60,1732,0.35,4,34.9,42.8,27,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1962-12,,301,5,0,-19,1,0.7,0.05,58,3234,0.18,1.8,16.5,26.2,6.8,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1963-01,,0,26,1,-28,3,1.8,0.14,44,5214,0.4,3.9,1.1,9.8,-7.5,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1963-02,,0,28,1,-22,3,1.2,0.12,48,6742,0.32,3.8,10.4,21.7,-0.9,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1963-03,,0,20,5,0,7,4.3,0.43,75,7773,1.26,11.5,31.7,42.4,21.1,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1963-04,,0,1,1,17,1,1.4,0.71,75,8386,2.17,1.9,44.5,55.3,33.8,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1963-05,,9,0,0,31,0,0,0.76,84,8744,3.01,0,53.7,64.7,42.8,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1963-06,,143,0,0,41,0,0,1.03,97,8794,4.03,0,67.8,78.7,56.9,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1963-07,,348,0,0,48,0,0,0.97,91,7,2.65,0,71.4,82.4,60.3,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1963-08,,484,0,0,46,0,0,0.74,91,41,2.13,0,68.3,79.5,57.1,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1963-09,,513,0,0,32,0,0,0.61,84,195,2.56,0,60.9,71.3,50.4,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1963-10,,522,0,0,25,0,0,0.77,90,480,1.25,0,56.1,68.1,44.1,,,,,
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",1963-11,,522,0,0,10,0,0,0.41,58,1399,0.58,0,34.4,44.2,24.6,,,,,
